CustomerID,Genre,Age,Annual Income (k$),Spending Score (1-100)
1,Male,49,68,69
2,Female,56,22,47
3,Male,66,41,94
4,Male,69,41,62
5,Male,49,112,69
6,Female,21,35,76
7,Male,47,44,16
8,Male,54,111,90
9,Male,40,42,90
10,Female,56,125,48
11,Male,62,78,85
12,Male,32,111,39
13,Male,60,83,33
14,Male,46,75,94
15,Female,53,62,23
16,Male,30,33,10
17,Female,49,18,69
18,Female,24,49,34
19,Female,68,78,52
20,Male,39,63,95
21,Female,45,31,10
22,Male,19,58,19
23,Female,59,106,58
24,Female,62,44,96
25,Female,23,107,1
26,Female,45,60,69
27,Female,45,131,4
28,Female,61,20,16
29,Female,61,113,24
30,Female,37,119,80
31,Male,47,51,2
32,Male,28,38,92
33,Female,45,107,32
34,Female,42,127,91
35,Female,56,60,84
36,Male,50,67,24
37,Female,18,109,12
38,Male,44,113,50
39,Male,69,74,35
40,Male,30,111,33
41,Male,58,130,33
42,Male,20,77,61
43,Female,56,99,51
44,Female,23,46,43
45,Female,25,101,12
46,Female,44,47,67
47,Female,26,81,65
48,Male,54,32,33
49,Female,50,39,40
50,Female,68,120,74
51,Male,59,109,43
52,Female,61,68,44
53,Male,41,72,29
54,Female,32,81,13
55,Male,49,118,12
56,Female,49,60,95
57,Female,41,38,46
58,Male,58,128,2
59,Male,69,46,35
60,Male,66,61,87
61,Male,66,100,81
62,Male,69,37,90
63,Male,29,80,8
64,Male,56,41,93
65,Male,19,120,26
66,Female,20,16,74
67,Female,66,104,90
68,Male,54,31,34
69,Female,66,118,7
70,Female,34,47,68
71,Female,66,23,58
72,Female,19,57,75
73,Male,19,132,29
74,Female,45,62,36
75,Male,40,53,89
76,Female,54,107,21
77,Female,49,56,36
78,Female,50,133,10
79,Male,18,40,73
80,Female,36,113,24
81,Male,19,64,64
82,Female,61,39,99
83,Male,43,38,49
84,Female,49,27,99
85,Male,23,74,36
86,Male,49,136,82
87,Female,21,21,96
88,Male,28,71,24
89,Female,34,50,23
90,Female,55,59,62
91,Female,41,34,96
92,Female,22,79,37
93,Female,69,22,12
94,Female,51,124,55
95,Female,23,30,13
96,Female,39,28,23
97,Female,28,90,89
98,Female,65,129,99
99,Female,33,101,30
100,Male,50,29,17
101,Male,26,106,62
102,Female,23,112,84
103,Female,33,80,89
104,Female,46,46,86
105,Female,20,101,13
106,Female,37,77,59
107,Female,53,100,19
108,Female,36,65,49
109,Female,43,39,12
110,Male,20,72,61
111,Female,36,77,19
112,Male,37,76,76
113,Female,49,36,9
114,Female,24,72,71
115,Male,69,72,28
116,Female,58,100,78
117,Male,50,63,95
118,Female,57,66,52
119,Female,56,56,83
120,Male,35,84,16
121,Female,57,29,69
122,Male,18,68,99
123,Female,28,121,12
124,Male,45,74,25
125,Male,42,115,52
126,Female,67,111,85
127,Female,40,22,53
128,Male,48,67,23
129,Female,47,74,16
130,Female,59,122,57
131,Female,52,122,39
132,Male,24,19,53
133,Male,33,117,42
134,Male,43,82,58
135,Male,65,20,39
136,Male,69,123,14
137,Male,66,110,95
138,Male,19,130,5
139,Male,18,108,35
140,Male,65,61,87
141,Female,29,113,93
142,Male,22,69,75
143,Female,54,54,18
144,Female,49,66,76
145,Female,26,30,9
146,Male,58,27,74
147,Male,52,128,58
148,Male,36,120,17
149,Male,65,44,7
150,Female,33,33,46
151,Male,20,31,13
152,Male,37,134,40
153,Male,41,77,42
154,Male,50,33,9
155,Male,41,106,50
156,Female,69,72,27
157,Male,28,69,66
158,Female,66,104,5
159,Male,25,115,29
160,Female,53,104,37
161,Male,55,131,38
162,Male,57,76,83
163,Female,37,37,8
164,Female,52,23,65
165,Female,65,26,86
166,Male,42,131,17
167,Female,52,15,71
168,Male,42,72,89
169,Male,46,136,45
170,Female,35,15,4
171,Female,63,125,36
172,Male,35,48,70
173,Male,19,110,31
174,Female,52,132,19
175,Female,33,62,61
176,Female,58,103,54
177,Male,53,118,39
178,Male,50,123,91
179,Male,21,131,74
180,Male,50,15,90
181,Male,31,30,19
182,Male,38,75,39
183,Female,65,117,67
184,Male,37,78,45
185,Male,25,77,13
186,Male,24,83,92
187,Female,20,36,58
188,Male,34,107,20
189,Male,50,133,92
190,Female,65,81,72
191,Male,29,90,61
192,Male,68,40,39
193,Male,39,30,1
194,Male,39,65,3
195,Male,63,115,77
196,Female,47,100,92
197,Female,55,71,62
198,Female,55,43,63
199,Male,62,92,25
200,Male,68,106,56
